function_name,cpu-cycles,instructions,cache-misses,cache-ref 
sun4i_tmds_calc_divider,10087,3741,20,28 
sun4i_tmds_calc_divider,9397,3741,17,21 
sun4i_tmds_calc_divider,9284,3741,15,30 
sun4i_tmds_calc_divider,9218,3741,13,24 
sun4i_tmds_calc_divider,9059,3741,14,25 
sun4i_tmds_calc_divider,9217,3741,14,27 
sun4i_tmds_calc_divider,9276,3741,14,24 
sun4i_tmds_calc_divider,9028,3741,14,27 
sun4i_tmds_calc_divider,9032,3741,14,25 
sun4i_tmds_calc_divider,9020,3741,14,25 
sun4i_tmds_calc_divider,9156,3741,13,23 
sun4i_tmds_calc_divider,11773,3741,14,26 
sun4i_tmds_calc_divider,9085,3741,14,23 
sun4i_tmds_calc_divider,9153,3741,14,22 
sun4i_tmds_calc_divider,9523,3741,14,26 
sun4i_tmds_calc_divider,9052,3741,14,26 
sun4i_tmds_calc_divider,9208,3741,14,26 
sun4i_tmds_calc_divider,8850,3741,14,27 
sun4i_tmds_calc_divider,9234,3741,14,27 
sun4i_tmds_calc_divider,8944,3741,13,24 
sun4i_tmds_calc_divider,8592,3741,14,23 
sun4i_tmds_calc_divider,9010,3741,14,28 
sun4i_tmds_calc_divider,8859,3741,14,24 
sun4i_tmds_calc_divider,9019,3741,14,26 
sun4i_tmds_calc_divider,8756,3741,14,25 
sun4i_tmds_calc_divider,8718,3741,14,28 
sun4i_tmds_calc_divider,8901,3741,14,26 
sun4i_tmds_calc_divider,8717,3741,14,22 
sun4i_tmds_calc_divider,9135,3741,14,24 
sun4i_tmds_calc_divider,8691,3741,14,23 
sun4i_tmds_calc_divider,8889,3741,14,26 
sun4i_tmds_calc_divider,8953,3741,14,22 
sun4i_tmds_calc_divider,8755,3741,14,24 
sun4i_tmds_calc_divider,9341,3741,14,26 
sun4i_tmds_calc_divider,8848,3741,14,24 
sun4i_tmds_calc_divider,8772,3741,14,26 
sun4i_tmds_calc_divider,9158,3741,13,22 
sun4i_tmds_calc_divider,8890,3741,14,22 
sun4i_tmds_calc_divider,8947,3741,14,24 
sun4i_tmds_calc_divider,8710,3741,14,23 
sun4i_tmds_calc_divider,9125,3741,14,23 
sun4i_tmds_calc_divider,8834,3741,13,25 
sun4i_tmds_calc_divider,8880,3741,14,21 
sun4i_tmds_calc_divider,9195,3741,14,25 
sun4i_tmds_calc_divider,9145,3741,14,28 
sun4i_tmds_calc_divider,9103,3741,14,28 
sun4i_tmds_calc_divider,9315,3741,14,30 
sun4i_tmds_calc_divider,9126,3741,13,24 
sun4i_tmds_calc_divider,9336,3741,14,27 
sun4i_tmds_calc_divider,9226,3741,14,29 
sun4i_tmds_calc_divider,9285,3741,14,27 
sun4i_tmds_calc_divider,9263,3741,14,24 
sun4i_tmds_calc_divider,9097,3741,14,26 
sun4i_tmds_calc_divider,8972,3741,14,27 
sun4i_tmds_calc_divider,9184,3741,14,31 
sun4i_tmds_calc_divider,9379,3741,14,23 
sun4i_tmds_calc_divider,8927,3741,13,24 
sun4i_tmds_calc_divider,9052,3741,14,25 
sun4i_tmds_calc_divider,9076,3741,13,29 
sun4i_tmds_calc_divider,9386,3741,14,26 
sun4i_tmds_calc_divider,9500,3741,14,33 
sun4i_tmds_calc_divider,8876,3741,14,25 
sun4i_tmds_calc_divider,9209,3741,13,25 
